gauge_id,gauge_name,river,longitude,latitude,area
3014,Kranjska Gora I,Sava Dolinka,13.7901105994,46.4896304552,39.72
3015,Kranjska Gora,Sava Dolinka,13.7959974471,46.4891167121,43.37
3020,Gozd Martuljek,Sava Dolinka,13.8760529916,46.4795838188,127.8
3025,Mojstrana,Sava Dolinka,13.9493121024,46.463094177,208.88
3030,Mojstrana I,Sava Dolinka,13.9516546731,46.4631606641,209.05
3040,Dovje,Sava Dolinka,13.9657536695,46.4612644881,218.78
3060,Jesenice,Sava Dolinka,14.0590197158,46.4342120924,259.42
3080,Blejski most,Sava Dolinka,14.139295054,46.3679078502,508.79
3090,Mojstrana,Bistrica,13.925125014,46.4482026531,42.8
3100,Mojstrana I,Bistrica,13.9460833836,46.4617147678,46.04
3105,Hrušica,Karavanke iztok,,,
3108,Slovenski Javornik,Javornik,,,16.54
3110,Javornik,Javornik,14.0962512014,46.4280877919,17.03
3115,Pri Žagi,Završnica,,,11.53
3130,Srednja Radovna,Radovna,14.0017309208,46.4092156701,64.96
3140,Fužine,Radovna,14.0288851953,46.3891138372,108.83
3150,Spodnja Radovna,Radovna,14.0371570187,46.3845947557,
3170,Grabče,Radovna,14.0643902084,46.3812215828,153.09
3180,Podhom,Radovna,14.0904183656,46.3938399478,166.8
3190,Vintgar,Radovna,14.0914590895,46.3953868935,
3200,Sveti Janez,Sava Bohinjka,13.8912652648,46.2786241498,94.35
3220,Soteska,Sava Bohinjka,14.042301917,46.2985255185,288.16
3250,Bodešče,Sava Bohinjka,14.1465835363,46.3422728106,363.9
3258,Ukanc I,Savica,13.8311781365,46.2817149181,66.71
3260,Ukanc,Savica,13.8342367364,46.2813052319,66.76
3280,Sveti Duh,Bohinjsko Jezero,13.8694925295,46.2790767935,93.99
3285,Stara Fužina I,Mostnica,13.8989133149,46.2887761301,41.11
3290,Stara Fužina,Mostnica,13.8941544991,46.283376228,74.26
3300,Stara Fužina II,Mostnica,13.8938728253,46.2831845394,74.26
3320,Bohinjska Bistrica,Bistrica,13.9547631711,46.2739223377,13.52
3330,Bohinjska Bistrica,Predorski potok,13.9635397908,46.2688642237,
3340,Bled,Blejsko jezero,14.1116478213,46.3694510372,8.38
3342,Mala Zaka,Mišca,14.0911254193,46.3684799278,3.32
3343,Mala Zaka,Krivica,14.0904860183,46.3678449774,0.6
3344,Zaka,Solznik,14.0864079984,46.362953481,1.41
3350,Mlino,Blejsko Jezero,14.1039328509,46.3603117343,8.36
3360,Zaka,Blejsko jezero,14.0871967328,46.3624198914,
3370,Mlino,Natega,14.1044363431,46.3573372981,
3375,Bled,Ušivc,14.1148884579,46.3700160536,
3380,Rečica,Mišca,14.0908341276,46.3703672182,
3390,Mlino,Jezernica,14.104694765,46.3574293025,8.6
3400,Mlino I,Jezernica,14.104681179,46.3574651884,8.57
3410,Radovljica,Sava,14.1695428985,46.3404622715,907.97
